country,iso_code_3,year,Poor (Below $6.85),Vulnerable ($6.85-$14.00),Middle Class ($14.00-$81.00),Rich (Above $81.00),input1,input2,input3,input4,input5,input6,notes
Bolivia,BOL,2012,23.7,28.7,46,1.6,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2013,21.8,27.5,48.6,2.1,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2014,20.2,29.3,48.5,2,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2015,20.5,29.6,48.2,1.7,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2016,22,28.7,47.8,1.5,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2017,21,28.8,48.9,1.3,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2018,19.1,30.5,49.3,1.1,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2019,15.5,32.3,50.7,1.5,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2020,17.3,32.5,48.7,1.5,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2021,15.2,31.5,52.1,1.2,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2022,15.9,32.1,50.7,1.3,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2023,14.1,32.2,52,1.7,2000,2023,55.8,14.1,23.6,32.2,
Brazil,BRA,2001,48,25.6,24.5,1.9,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2002,47.3,26,24.7,2,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2003,48.7,25.7,23.8,1.8,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2004,47.3,26.7,24.3,1.7,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2005,45,27.7,25.4,1.9,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2006,41.4,28.8,27.7,2.1,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2007,39,29.2,29.7,2.1,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2008,35.8,30,31.9,2.3,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2009,33.8,30.4,33.3,2.5,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2011,29.9,30.1,37.2,2.8,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2012,26.7,29.5,40.8,3,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2013,25.1,28.8,42.6,3.5,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2014,23.2,29.3,44.1,3.4,2001,2015,48,25,25.6,29.6,
Brazil,BRA,2015,25,29.6,42.4,3,2001,2015,48,25,25.6,29.6,
Chile,CHL,2006,29.1,37.2,32.1,1.6,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2009,24.4,38.6,35,2,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2011,20.9,38.7,37.9,2.5,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2013,12.5,35.9,48.1,3.5,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2015,9.7,34,52.7,3.6,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2017,7.5,30.7,57.5,4.3,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2020,9.9,30.1,55.6,4.4,2006,2022,29.1,4.7,37.2,24.5,
Chile,CHL,2022,4.7,24.5,65.8,5,2006,2022,29.1,4.7,37.2,24.5,
Colombia,COL,2001,67,20.4,11.8,0.8,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2002,57.7,24.2,17.1,1,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2003,58,24.8,16.4,0.8,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2004,57.3,24.6,17,1.1,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2005,53.5,26.5,18.8,1.2,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2008,48.5,27.3,22.7,1.5,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2009,47.3,28,23.3,1.4,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2010,44.6,28.7,25.1,1.6,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2011,41.6,29.6,27.1,1.7,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2012,39.8,30.3,28.3,1.6,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2013,37.6,30.7,29.9,1.8,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2014,35.4,31.3,31.3,2,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2015,34.6,31.9,31.8,1.7,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2016,34.3,32.6,31.3,1.8,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2017,33.7,33.3,31.4,1.6,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2018,33.9,33,31.4,1.7,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2019,34.8,32.2,31.2,1.8,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2020,42.2,30.4,25.9,1.5,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2021,38.8,29.7,29.3,2.2,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2022,34.8,30.6,32,2.6,2001,2023,67,32.4,20.4,30.9,
Colombia,COL,2023,32.4,30.9,34,2.7,2001,2023,67,32.4,20.4,30.9,
Costa Rica,CRI,2000,36.1,32.7,30.3,0.9,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2001,28,31.8,37.6,2.6,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2002,27.8,31.7,37.9,2.6,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2003,26.5,31.1,40.4,2,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2004,27.9,32.6,37.7,1.8,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2005,25.4,33.3,39.8,1.5,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2006,25.1,33.1,39.6,2.2,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2007,20.3,33.8,43,2.9,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2008,20,32.9,44.3,2.8,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2009,19.4,30.6,45.7,4.3,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2010,15.6,31.7,49.3,3.4,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2011,16.4,29.6,50.5,3.5,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2012,15.6,28.3,52.5,3.6,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2013,15.6,28.7,51.3,4.4,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2014,15.1,29.3,51.1,4.5,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2015,14.8,29.2,51.4,4.6,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2016,14.2,28.3,52.8,4.7,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2017,12.9,29,53.3,4.8,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2018,13.9,28.5,53.1,4.5,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2019,13.7,29.6,52.1,4.6,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2020,19.9,30.5,46.1,3.5,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2021,14.5,29.5,51.7,4.3,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2022,14.1,30,52.2,3.7,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2023,12.7,27.2,55.8,4.3,2000,2024,36.1,10,32.7,25.9,
Costa Rica,CRI,2024,10,25.9,59.2,4.9,2000,2024,36.1,10,32.7,25.9,
Dominican Republic,DOM,2000,41.1,29.7,27.8,1.4,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2001,40.5,31.8,26.4,1.3,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2002,40,32.7,26,1.3,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2003,49,30.2,19.5,1.3,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2004,57,26.4,15.9,0.7,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2005,48.2,30,21,0.8,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2006,45,29.9,24,1.1,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2007,44.3,32.9,22,0.8,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2008,45.9,32,21.4,0.7,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2009,42.9,33.1,23.3,0.7,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2010,43.7,31,24.9,0.4,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2011,41.6,32,25.6,0.8,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2012,41.2,34.2,23.9,0.7,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2013,40.5,34.1,24.6,0.8,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2014,34.8,34.8,30,0.4,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2015,30.4,36,32.9,0.7,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2016,28.7,35.1,35.1,1.1,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2017,25.5,41.3,32.3,0.9,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2018,22.2,40,36.6,1.2,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2019,20.2,39.7,38.8,1.3,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2020,23.2,41.4,34.7,0.7,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2021,23.2,43.1,33.3,0.4,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2022,21.5,41.8,36.2,0.5,2000,2023,41.1,17.9,29.7,38.8,
Dominican Republic,DOM,2023,17.9,38.8,42.7,0.6,2000,2023,41.1,17.9,29.7,38.8,
Ecuador,ECU,2007,44.9,28.8,25.1,1.2,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2008,42.3,31.4,25.6,0.7,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2009,43.2,31.2,25,0.6,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2010,38.8,32.4,27.9,0.9,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2011,34.7,33.3,31.4,0.6,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2012,31.4,33.9,33.9,0.8,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2013,31.2,33.8,33.9,1.1,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2014,27.6,35.4,36,1,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2015,28.8,34.6,35.6,1,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2016,28.2,35.6,35.4,0.8,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2017,27.1,34.9,37.1,0.9,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2018,27.8,34.9,36.3,1,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2019,29.7,33.9,35.5,0.9,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2020,34.6,34.5,30,0.9,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2021,31.7,33.9,33.3,1.1,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2022,29.9,34.7,34.4,1,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2023,29.6,34.1,35.6,0.7,2007,2024,44.9,31.8,28.8,33.3,
Ecuador,ECU,2024,31.8,33.3,34.1,0.8,2007,2024,44.9,31.8,28.8,33.3,
El Salvador,SLV,2000,51,28.1,20.4,0.5,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2001,52.4,27.6,19.6,0.4,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2002,52.4,27.4,19.7,0.5,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2003,53.6,28,18,0.4,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2004,51.8,29.2,18.7,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2005,51.8,29.2,18.5,0.5,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2006,50.5,31.9,17.1,0.5,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2007,47.2,33.3,19,0.5,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2008,50.9,29.8,19,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2009,50.5,32.3,16.9,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2010,49.1,32.8,17.8,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2011,50,33.2,16.6,0.2,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2012,47.1,35.3,17.3,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2013,42.7,37.3,19.7,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2014,42.7,36.5,20.5,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2015,40.2,38.6,20.9,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2016,38.7,38.9,22.1,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2017,36.3,40.9,22.6,0.2,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2018,33,40.7,26.1,0.2,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2019,28.8,41.1,29.8,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2021,28.4,39.4,31.9,0.3,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2022,27.5,40,32.3,0.2,2000,2023,51,24.8,28.1,39,
El Salvador,SLV,2023,24.8,39,35.7,0.5,2000,2023,51,24.8,28.1,39,
Guatemala,GTM,2000,50,29.4,19.3,1.3,2000,2023,50,57.9,29.4,27.3,
Guatemala,GTM,2006,48.2,28.7,21.9,1.2,2000,2023,50,57.9,29.4,27.3,
Guatemala,GTM,2014,55.4,28.9,15.3,0.4,2000,2023,50,57.9,29.4,27.3,
Guatemala,GTM,2023,57.9,27.3,14.6,0.2,2000,2023,50,57.9,29.4,27.3,
Honduras,HND,2001,56.5,23.2,19.8,0.5,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2002,61.5,22.7,15.2,0.6,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2003,65,20.8,13.6,0.6,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2004,64.5,19.9,15.1,0.5,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2005,62,21,16.2,0.8,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2006,56.4,24,18.7,0.9,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2007,54.2,24.1,20.7,1,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2008,51.3,26.6,21.3,0.8,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2009,48.4,28.2,22.7,0.7,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2010,51.3,25.9,22,0.8,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2011,51.4,26.9,21,0.7,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2012,56.9,24.8,17.9,0.4,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2013,54.4,26.5,18.8,0.3,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2014,53.1,27.9,18.8,0.2,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2015,53.2,27.5,19,0.3,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2016,50.5,28.1,21.2,0.2,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2017,51.2,28.4,20.2,0.2,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2018,51.3,27.5,20.8,0.4,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2019,49.6,28.8,21.4,0.2,2001,2023,56.5,49.5,23.2,28.1,
Honduras,HND,2023,49.5,28.1,22.2,0.2,2001,2023,56.5,49.5,23.2,28.1,
Mexico,MEX,2000,49.9,28.6,20.4,1.1,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2002,47,30.6,21.2,1.2,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2004,44.2,31.8,23,1,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2005,42.9,31.8,24.3,1,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2006,39.7,34.3,24.8,1.2,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2008,40.2,31.8,26.7,1.3,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2010,40.2,33.5,25.5,0.8,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2012,37.3,34.1,27.2,1.4,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2014,40.3,34.4,24.2,1.1,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2016,31.4,37.3,30,1.3,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2018,28.8,38.7,31.3,1.2,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2020,30.3,37.8,31,0.9,2000,2022,49.9,21.8,28.6,38.6,
Mexico,MEX,2022,21.8,38.6,38.4,1.2,2000,2022,49.9,21.8,28.6,38.6,
Nicaragua,NIC,2001,69,20.7,9.7,0.6,2001,2014,69,42.1,20.7,35.8,
Nicaragua,NIC,2005,61,26,12.5,0.5,2001,2014,69,42.1,20.7,35.8,
Nicaragua,NIC,2009,57.1,29.4,13.2,0.3,2001,2014,69,42.1,20.7,35.8,
Nicaragua,NIC,2014,42.1,35.8,21.3,0.8,2001,2014,69,42.1,20.7,35.8,
Panama,PAN,2000,35.1,27.5,34.8,2.6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2001,40,26.1,31.8,2.1,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2002,37.2,26.1,34.1,2.6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2003,36,26.9,34.5,2.6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2004,34.8,27,35.4,2.8,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2005,34.5,27,36.1,2.4,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2006,33.9,27.2,36.3,2.6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2007,30.5,27.6,39.2,2.7,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2008,23.2,27.5,45.7,3.6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2009,23,27.6,45.7,3.7,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2010,21.7,26.9,47.7,3.7,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2011,18.3,25.5,51.4,4.8,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2012,18.8,24.4,52,4.8,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2013,18.2,23.5,52.8,5.5,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2014,16.8,23.3,54.8,5.1,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2015,15.4,21.7,56.9,6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2016,14.5,20.6,58,6.9,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2017,14,20.4,59.9,5.7,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2018,12.5,19.3,61.5,6.7,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2019,12.1,19.3,61.1,7.5,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2021,12.9,22.5,58.2,6.4,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2023,12.9,21.2,59.9,6,2000,2024,35.1,13.6,27.5,21.8,
Panama,PAN,2024,13.6,21.8,58.3,6.3,2000,2024,35.1,13.6,27.5,21.8,
Paraguay,PRY,2001,39.5,30.8,28,1.7,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2002,51.7,27.4,20.1,0.8,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2003,44.7,29.2,24.8,1.3,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2004,42.8,31.7,24.3,1.2,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2005,39.1,32.7,27.1,1.1,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2006,43.8,31.4,23.6,1.2,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2007,40.3,32.8,25.7,1.2,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2008,37.2,32.7,28.9,1.2,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2009,35.7,33.4,29.8,1.1,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2010,34.1,33.1,31.5,1.3,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2011,32.2,31.5,34.4,1.9,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2012,27,32.4,39.1,1.5,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2013,23.3,33.1,41.6,2,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2014,22.6,32.9,42.1,2.4,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2015,22.6,32.7,42.4,2.3,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2016,23.7,33.6,40.9,1.8,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2017,21,34.8,42.3,1.9,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2018,19.6,34.6,43.7,2.1,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2019,19.7,33.2,45.5,1.6,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2020,22.3,34.3,42,1.4,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2021,20.8,36.3,41.6,1.3,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2022,20.6,33.7,44.2,1.5,2001,2023,39.5,18,30.8,33.4,
Paraguay,PRY,2023,18,33.4,46.8,1.8,2001,2023,39.5,18,30.8,33.4,
Peru,PER,2000,62.4,25.5,12,0.1,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2001,63.9,23.7,12.1,0.3,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2002,60.2,24.9,14.1,0.8,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2003,59.4,25.2,14.5,0.9,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2004,59.8,25.8,14.1,0.3,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2005,61.5,25.5,12.6,0.4,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2006,55.9,27.8,15.8,0.5,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2007,50.3,29.4,19.8,0.5,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2008,46.4,31.6,21.5,0.5,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2009,44.6,32,23,0.4,2000,2023,62.4,32.7,25.5,38.6,
Peru,PER,2010,40.5,34.1,24.8,0.6,2000,2023,62.4,32.7,25.5,38.6,
